country,country,count,points
Italy,Italy,19540.0,88.6
Portugal,Portugal,5691.0,88.3
US,US,54504.0,88.6
Spain,Spain,6645.0,87.3
France,France,22093.0,88.8
Germany,Germany,2165.0,89.9
Argentina,Argentina,3800.0,86.7
Chile,Chile,4472.0,86.5
Australia,Australia,2329.0,88.6
Austria,Austria,3345.0,90.1
South Africa,South Africa,1401.0,88.1
New Zealand,New Zealand,1419.0,88.3
Israel,Israel,505.0,88.5
Hungary,Hungary,146.0,89.2
Greece,Greece,466.0,87.3
Romania,Romania,120.0,86.4
Mexico,Mexico,70.0,85.3
Canada,Canada,257.0,89.4
,,,
Turkey,Turkey,90.0,88.1
Czech Republic,Czech Republic,12.0,87.2
Slovenia,Slovenia,87.0,88.1
Luxembourg,Luxembourg,6.0,88.7
Croatia,Croatia,73.0,87.2
Georgia,Georgia,86.0,87.7
Uruguay,Uruguay,109.0,86.8
England,England,74.0,91.6
Lebanon,Lebanon,35.0,87.7
Serbia,Serbia,12.0,87.5
Brazil,Brazil,52.0,84.7
Moldova,Moldova,59.0,87.2
Morocco,Morocco,28.0,88.6
Peru,Peru,16.0,83.6
India,India,9.0,90.2
Bulgaria,Bulgaria,141.0,87.9
Cyprus,Cyprus,11.0,87.2
Armenia,Armenia,2.0,87.5
Switzerland,Switzerland,7.0,88.6
Bosnia and Herzegovina,Bosnia and Herzegovina,2.0,86.5
Ukraine,Ukraine,14.0,84.1
Slovakia,Slovakia,1.0,87.0
Macedonia,Macedonia,12.0,86.8
China,China,1.0,89.0
Egypt,Egypt,1.0,84.0
